Rekkefølge;År;Hovedlokalitet;Hovedlokkode;Sted;Nr;Mnd;Dag;Hab;Art;Populasjon;ArtPop;Vekt;Lengde;Lencm;Lengrcm;Kond;Kjønn;Stadium;Operculum;Alder;ALDOK;AltAld;AldMerkn;Mage;MC;Azygia;Gjeddemakk;Gjellelus;Muskel;SIA;Merknad;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;90pigg;sik;lagesild;UidCoreg;abbor;ørekyte;lake;gjedde;ørret;niøye;Egg;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn
589;2019;Skrukkebukta;2;SB;1124;9;11;1;2;          ;2;6,6;81;8,1;8;1,241906439;2;1;+;2;1;1;vanskelig;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
976;2020;Skrukkebukta;2;SB;1044;9;11;1;2;-;2;7,5;87;8,7;8;1,138946975;2;1;+;1;1;-;;+;-;-;-;0;+;-;;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
996;2020;Skrukkebukta;2;SB;1064;9;11;1;2;-;2;6,7;88;8,8;8;0,983165853;2;1;+;1;1;-;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;2018;Skrukkebukta;2;SB;1034;9;10;1;2;;2;13,2;104;10,4;10;1,173475193;1;1;+;2;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
994;2020;Skrukkebukta;2;SB;1062;9;11;1;2;-;2;13,5;104;10,4;10;1,200145084;1;1;+;2;1;-;;+;-;-;-;0;+;-;;70;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;2018;Skrukkebukta;2;SB;1045;9;10;1;2;;2;12,4;107;10,7;10;1,012209367;2;1;+;2;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;56;;;;;;;;;;;;;2,5;;;Ser kun skjell og rest av insektSBen.
126;2018;Skrukkebukta;2;SB;1033;9;10;1;2;;2;15;109;10,9;10;1,15827522;1;1;+;3;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
995;2020;Skrukkebukta;2;SB;1063;9;11;1;2;-;2;14,3;110;11;11;1,074380165;2;1;+;2;1;1;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
993;2020;Skrukkebukta;2;SB;1061;9;11;1;2;-;2;15,8;110;11;11;1,187077385;2;2;+;2;1;1;;+;-;-;-;0;+;-;;50;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;2018;Skrukkebukta;2;SB;1017;9;10;1;2;;2;16,2;114;11,4;11;1,093453856;1;1;+;3;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;42;1;;;;;;;;;;5;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;2018;Skrukkebukta;2;SB;1032;9;10;1;2;;2;16,8;115;11,5;11;1,10462727;1;1;+;2;1;3;; +;-;-;-;0;+;-;isotope sample w/muscle sample;20;;;;;;;;;;;;;;;;;;;;15;;;;;5;;;;;;;;;;;;;;;;;;;;;;;Vannmidd tilstede, men kun 1.
112;2018;Skrukkebukta;2;SB;1019;9;10;1;2;;2;16,6;117;11,7;11;1,036455124;1;1;+;2;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;2018;Skrukkebukta;2;SB;1044;9;10;1;2;;2;16,8;121;12,1;12;0,948316202;2;1;+;2;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Godt fordøyd
136;2018;Skrukkebukta;2;SB;1043;9;10;1;2;;2;22;125;12,5;12;1,1264;2;1;+;2;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;10;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
1653;2021;Skrukkebukta;2;SB;1031;9;9;1;2;         -;2;23,4;128;12,8;12;1,11579895;2;1;       +;;;;;;        -;        -;        -;0;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;2018;Skrukkebukta;2;SB;1031;9;10;1;2;;2;23,4;130;13;13;1,065088757;1;1;+;4;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;10;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
975;2020;Skrukkebukta;2;SB;1043;9;11;1;2;-;2;26,6;131;13,1;13;1,183226124;2;1;+;3;1;4;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
